EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,DOSE_LEVEL,SACRIFICE_PERIOD,PROGRESS_TIME,BODY_WEIGHT
40,1,1,acetaminophen,Control,3 hr,1,214.6
40,1,2,acetaminophen,Control,3 hr,1,191.8
40,1,3,acetaminophen,Control,3 hr,1,205.9
40,1,4,acetaminophen,Control,3 hr,1,215.2
40,1,5,acetaminophen,Control,3 hr,1,199
40,2,1,acetaminophen,Control,6 hr,1,203.8
40,2,2,acetaminophen,Control,6 hr,1,214.9
40,2,3,acetaminophen,Control,6 hr,1,203.4
40,2,4,acetaminophen,Control,6 hr,1,209.3
40,2,5,acetaminophen,Control,6 hr,1,214.7
40,3,1,acetaminophen,Control,9 hr,1,198.5
40,3,2,acetaminophen,Control,9 hr,1,213.1
40,3,3,acetaminophen,Control,9 hr,1,223.1
40,3,4,acetaminophen,Control,9 hr,1,203.3
40,3,5,acetaminophen,Control,9 hr,1,210.6
40,4,1,acetaminophen,Control,24 hr,1,213.2
40,4,2,acetaminophen,Control,24 hr,1,206.7
40,4,3,acetaminophen,Control,24 hr,1,210.2
40,4,4,acetaminophen,Control,24 hr,1,209.5
40,4,5,acetaminophen,Control,24 hr,1,202.5
40,11,1,acetaminophen,Low,3 hr,1,211.1
40,11,2,acetaminophen,Low,3 hr,1,217.1
40,11,3,acetaminophen,Low,3 hr,1,195.3
40,11,4,acetaminophen,Low,3 hr,1,212.8
40,11,5,acetaminophen,Low,3 hr,1,218
40,12,1,acetaminophen,Low,6 hr,1,201.2
40,12,2,acetaminophen,Low,6 hr,1,203.7
40,12,3,acetaminophen,Low,6 hr,1,211.9
40,12,4,acetaminophen,Low,6 hr,1,194.1
40,12,5,acetaminophen,Low,6 hr,1,206.4
40,13,1,acetaminophen,Low,9 hr,1,215.1
40,13,2,acetaminophen,Low,9 hr,1,205.9
40,13,3,acetaminophen,Low,9 hr,1,206.1
40,13,4,acetaminophen,Low,9 hr,1,214.5
40,13,5,acetaminophen,Low,9 hr,1,197.4
40,14,1,acetaminophen,Low,24 hr,1,213.3
40,14,2,acetaminophen,Low,24 hr,1,219
40,14,3,acetaminophen,Low,24 hr,1,196.9
40,14,4,acetaminophen,Low,24 hr,1,207
40,14,5,acetaminophen,Low,24 hr,1,214.4
40,16,1,acetaminophen,Middle,3 hr,1,213.4
40,16,2,acetaminophen,Middle,3 hr,1,199.2
40,16,3,acetaminophen,Middle,3 hr,1,206.5
40,16,4,acetaminophen,Middle,3 hr,1,216.6
40,16,5,acetaminophen,Middle,3 hr,1,197.2
40,17,1,acetaminophen,Middle,6 hr,1,204.3
40,17,2,acetaminophen,Middle,6 hr,1,211.1
40,17,3,acetaminophen,Middle,6 hr,1,192.7
40,17,4,acetaminophen,Middle,6 hr,1,210.2
40,17,5,acetaminophen,Middle,6 hr,1,221
40,18,1,acetaminophen,Middle,9 hr,1,200.4
40,18,2,acetaminophen,Middle,9 hr,1,209.2
40,18,3,acetaminophen,Middle,9 hr,1,207.1
40,18,4,acetaminophen,Middle,9 hr,1,193.8
40,18,5,acetaminophen,Middle,9 hr,1,208.6
40,19,1,acetaminophen,Middle,24 hr,1,211.8
40,19,2,acetaminophen,Middle,24 hr,1,200.7
40,19,3,acetaminophen,Middle,24 hr,1,202.4
40,19,4,acetaminophen,Middle,24 hr,1,215
40,19,5,acetaminophen,Middle,24 hr,1,202.8
40,21,1,acetaminophen,High,3 hr,1,196.8
40,21,2,acetaminophen,High,3 hr,1,207.1
40,21,3,acetaminophen,High,3 hr,1,212
40,21,4,acetaminophen,High,3 hr,1,198.6
40,21,5,acetaminophen,High,3 hr,1,202.2
40,22,1,acetaminophen,High,6 hr,1,214.9
40,22,2,acetaminophen,High,6 hr,1,204
40,22,3,acetaminophen,High,6 hr,1,213.2
40,22,4,acetaminophen,High,6 hr,1,219
40,22,5,acetaminophen,High,6 hr,1,197.8
40,23,1,acetaminophen,High,9 hr,1,204.6
40,23,2,acetaminophen,High,9 hr,1,222
40,23,3,acetaminophen,High,9 hr,1,202.5
40,23,4,acetaminophen,High,9 hr,1,206.4
40,23,5,acetaminophen,High,9 hr,1,219
40,24,1,acetaminophen,High,24 hr,1,199.7
40,24,2,acetaminophen,High,24 hr,1,208.6
40,24,3,acetaminophen,High,24 hr,1,208.6
40,24,4,acetaminophen,High,24 hr,1,203.1
40,24,5,acetaminophen,High,24 hr,1,202.6
42,1,1,acetaminophen,Control,4 day,1,211.2
42,1,1,acetaminophen,Control,4 day,3,224.1
42,1,2,acetaminophen,Control,4 day,1,219.3
42,1,2,acetaminophen,Control,4 day,3,239.2
42,1,3,acetaminophen,Control,4 day,1,201.6
42,1,3,acetaminophen,Control,4 day,3,219.8
42,1,4,acetaminophen,Control,4 day,1,215.6
42,1,4,acetaminophen,Control,4 day,3,225.8
42,1,5,acetaminophen,Control,4 day,1,219.8
42,1,5,acetaminophen,Control,4 day,3,237.8
42,2,1,acetaminophen,Control,8 day,1,204.5
42,2,1,acetaminophen,Control,8 day,3,222.2
42,2,1,acetaminophen,Control,8 day,7,249.7
42,2,2,acetaminophen,Control,8 day,1,213.9
42,2,2,acetaminophen,Control,8 day,3,235.8
42,2,2,acetaminophen,Control,8 day,7,268.7
42,2,3,acetaminophen,Control,8 day,1,221.8
42,2,3,acetaminophen,Control,8 day,3,238.7
42,2,3,acetaminophen,Control,8 day,7,260.3
42,2,4,acetaminophen,Control,8 day,1,202.1
42,2,4,acetaminophen,Control,8 day,3,219.9
42,2,4,acetaminophen,Control,8 day,7,243.2
42,2,5,acetaminophen,Control,8 day,1,218.4
42,2,5,acetaminophen,Control,8 day,3,234.9
42,2,5,acetaminophen,Control,8 day,7,264.3
42,3,1,acetaminophen,Control,15 day,1,222.9
42,3,1,acetaminophen,Control,15 day,3,238.1
42,3,1,acetaminophen,Control,15 day,7,276.3
42,3,1,acetaminophen,Control,15 day,10,299.7
42,3,1,acetaminophen,Control,15 day,14,330.4
42,3,2,acetaminophen,Control,15 day,1,212.4
42,3,2,acetaminophen,Control,15 day,3,224.4
42,3,2,acetaminophen,Control,15 day,7,252.6
42,3,2,acetaminophen,Control,15 day,10,270.7
42,3,2,acetaminophen,Control,15 day,14,291.8
42,3,3,acetaminophen,Control,15 day,1,212.7
42,3,3,acetaminophen,Control,15 day,3,229.1
42,3,3,acetaminophen,Control,15 day,7,255.7
42,3,3,acetaminophen,Control,15 day,10,278.3
42,3,3,acetaminophen,Control,15 day,14,309.8
42,3,5,acetaminophen,Control,15 day,1,202
42,3,5,acetaminophen,Control,15 day,3,212.9
42,3,5,acetaminophen,Control,15 day,7,243.2
42,3,5,acetaminophen,Control,15 day,10,266.6
42,3,5,acetaminophen,Control,15 day,14,294.5
42,4,1,acetaminophen,Control,29 day,1,212
42,4,1,acetaminophen,Control,29 day,3,224.7
42,4,1,acetaminophen,Control,29 day,7,256.2
42,4,1,acetaminophen,Control,29 day,10,280.9
42,4,1,acetaminophen,Control,29 day,14,310.2
42,4,1,acetaminophen,Control,29 day,17,333.1
42,4,1,acetaminophen,Control,29 day,21,359.7
42,4,1,acetaminophen,Control,29 day,24,379.6
42,4,1,acetaminophen,Control,29 day,28,399.9
42,4,2,acetaminophen,Control,29 day,1,217.7
42,4,2,acetaminophen,Control,29 day,3,237.3
42,4,2,acetaminophen,Control,29 day,7,267.6
42,4,2,acetaminophen,Control,29 day,10,292.9
42,4,2,acetaminophen,Control,29 day,14,321
42,4,2,acetaminophen,Control,29 day,17,343.1
42,4,2,acetaminophen,Control,29 day,21,369.2
42,4,2,acetaminophen,Control,29 day,24,390.2
42,4,2,acetaminophen,Control,29 day,28,404.4
42,4,3,acetaminophen,Control,29 day,1,206
42,4,3,acetaminophen,Control,29 day,3,217.5
42,4,3,acetaminophen,Control,29 day,7,244
42,4,3,acetaminophen,Control,29 day,10,264.4
42,4,3,acetaminophen,Control,29 day,14,285.4
42,4,3,acetaminophen,Control,29 day,17,296.3
42,4,3,acetaminophen,Control,29 day,21,316.3
42,4,3,acetaminophen,Control,29 day,24,333.1
42,4,3,acetaminophen,Control,29 day,28,346.9
42,4,4,acetaminophen,Control,29 day,1,212.3
42,4,4,acetaminophen,Control,29 day,3,231.1
42,4,4,acetaminophen,Control,29 day,7,258.4
42,4,4,acetaminophen,Control,29 day,10,279.9
42,4,4,acetaminophen,Control,29 day,14,314.3
42,4,4,acetaminophen,Control,29 day,17,329.9
42,4,4,acetaminophen,Control,29 day,21,357.1
42,4,4,acetaminophen,Control,29 day,24,378.5
42,4,4,acetaminophen,Control,29 day,28,399.5
42,4,5,acetaminophen,Control,29 day,1,214.8
42,4,5,acetaminophen,Control,29 day,3,235.4
42,4,5,acetaminophen,Control,29 day,7,265.8
42,4,5,acetaminophen,Control,29 day,10,290
42,4,5,acetaminophen,Control,29 day,14,326.4
42,4,5,acetaminophen,Control,29 day,17,344.6
42,4,5,acetaminophen,Control,29 day,21,372.5
42,4,5,acetaminophen,Control,29 day,24,387
42,4,5,acetaminophen,Control,29 day,28,408.8
42,9,1,acetaminophen,Low,4 day,1,215.3
42,9,1,acetaminophen,Low,4 day,3,224.3
42,9,2,acetaminophen,Low,4 day,1,204.9
42,9,2,acetaminophen,Low,4 day,3,215.5
42,9,3,acetaminophen,Low,4 day,1,210.2
42,9,3,acetaminophen,Low,4 day,3,226.5
42,9,4,acetaminophen,Low,4 day,1,210.2
42,9,4,acetaminophen,Low,4 day,3,226.3
42,9,5,acetaminophen,Low,4 day,1,201.7
42,9,5,acetaminophen,Low,4 day,3,209.8
42,10,1,acetaminophen,Low,8 day,1,209
42,10,1,acetaminophen,Low,8 day,3,215.7
42,10,1,acetaminophen,Low,8 day,7,243.7
42,10,2,acetaminophen,Low,8 day,1,220.2
42,10,2,acetaminophen,Low,8 day,3,237.4
42,10,2,acetaminophen,Low,8 day,7,271
42,10,3,acetaminophen,Low,8 day,1,199
42,10,3,acetaminophen,Low,8 day,3,208.2
42,10,3,acetaminophen,Low,8 day,7,241.4
42,10,4,acetaminophen,Low,8 day,1,214
42,10,4,acetaminophen,Low,8 day,3,230.2
42,10,4,acetaminophen,Low,8 day,7,264.1
42,10,5,acetaminophen,Low,8 day,1,220.8
42,10,5,acetaminophen,Low,8 day,3,235.5
42,10,5,acetaminophen,Low,8 day,7,263.4
42,11,1,acetaminophen,Low,15 day,1,206.9
42,11,1,acetaminophen,Low,15 day,3,221.3
42,11,1,acetaminophen,Low,15 day,7,248.9
42,11,1,acetaminophen,Low,15 day,10,273.7
42,11,1,acetaminophen,Low,15 day,14,304.3
42,11,2,acetaminophen,Low,15 day,1,214.7
42,11,2,acetaminophen,Low,15 day,3,225.4
42,11,2,acetaminophen,Low,15 day,7,249.6
42,11,2,acetaminophen,Low,15 day,10,269.1
42,11,2,acetaminophen,Low,15 day,14,291.2
42,11,3,acetaminophen,Low,15 day,1,217.9
42,11,3,acetaminophen,Low,15 day,3,229.1
42,11,3,acetaminophen,Low,15 day,7,260.6
42,11,3,acetaminophen,Low,15 day,10,288.2
42,11,3,acetaminophen,Low,15 day,14,320.4
42,11,4,acetaminophen,Low,15 day,1,207.3
42,11,4,acetaminophen,Low,15 day,3,221.7
42,11,4,acetaminophen,Low,15 day,7,254.9
42,11,4,acetaminophen,Low,15 day,10,277.5
42,11,4,acetaminophen,Low,15 day,14,317.5
42,11,5,acetaminophen,Low,15 day,1,209.8
42,11,5,acetaminophen,Low,15 day,3,223.2
42,11,5,acetaminophen,Low,15 day,7,254.3
42,11,5,acetaminophen,Low,15 day,10,276.6
42,11,5,acetaminophen,Low,15 day,14,303.8
42,12,1,acetaminophen,Low,29 day,1,220.4
42,12,1,acetaminophen,Low,29 day,3,229.2
42,12,1,acetaminophen,Low,29 day,7,254.3
42,12,1,acetaminophen,Low,29 day,10,281
42,12,1,acetaminophen,Low,29 day,14,307.1
42,12,1,acetaminophen,Low,29 day,17,326.4
42,12,1,acetaminophen,Low,29 day,21,345
42,12,1,acetaminophen,Low,29 day,24,358.5
42,12,1,acetaminophen,Low,29 day,28,377.5
42,12,2,acetaminophen,Low,29 day,1,199.5
42,12,2,acetaminophen,Low,29 day,3,209.3
42,12,2,acetaminophen,Low,29 day,7,238.8
42,12,2,acetaminophen,Low,29 day,10,263.4
42,12,2,acetaminophen,Low,29 day,14,284.3
42,12,2,acetaminophen,Low,29 day,17,305.3
42,12,2,acetaminophen,Low,29 day,21,322.8
42,12,2,acetaminophen,Low,29 day,24,344.8
42,12,2,acetaminophen,Low,29 day,28,365.3
42,12,3,acetaminophen,Low,29 day,1,210.7
42,12,3,acetaminophen,Low,29 day,3,220.3
42,12,3,acetaminophen,Low,29 day,7,246.7
42,12,3,acetaminophen,Low,29 day,10,268.2
42,12,3,acetaminophen,Low,29 day,14,297.1
42,12,3,acetaminophen,Low,29 day,17,315.2
42,12,3,acetaminophen,Low,29 day,21,333.1
42,12,3,acetaminophen,Low,29 day,24,353.7
42,12,3,acetaminophen,Low,29 day,28,374.5
42,12,4,acetaminophen,Low,29 day,1,216.7
42,12,4,acetaminophen,Low,29 day,3,231.5
42,12,4,acetaminophen,Low,29 day,7,256.5
42,12,4,acetaminophen,Low,29 day,10,281.4
42,12,4,acetaminophen,Low,29 day,14,305.6
42,12,4,acetaminophen,Low,29 day,17,318.9
42,12,4,acetaminophen,Low,29 day,21,340.4
42,12,4,acetaminophen,Low,29 day,24,357.6
42,12,4,acetaminophen,Low,29 day,28,342.2
42,12,5,acetaminophen,Low,29 day,1,197.9
42,12,5,acetaminophen,Low,29 day,3,209.5
42,12,5,acetaminophen,Low,29 day,7,237.2
42,12,5,acetaminophen,Low,29 day,10,256.9
42,12,5,acetaminophen,Low,29 day,14,281.7
42,12,5,acetaminophen,Low,29 day,17,293.1
42,12,5,acetaminophen,Low,29 day,21,318.9
42,12,5,acetaminophen,Low,29 day,24,335
42,12,5,acetaminophen,Low,29 day,28,354.8
42,13,1,acetaminophen,Middle,4 day,1,210
42,13,1,acetaminophen,Middle,4 day,3,198.4
42,13,2,acetaminophen,Middle,4 day,1,221.4
42,13,2,acetaminophen,Middle,4 day,3,231.2
42,13,3,acetaminophen,Middle,4 day,1,197.6
42,13,3,acetaminophen,Middle,4 day,3,201.1
42,13,4,acetaminophen,Middle,4 day,1,212.3
42,13,4,acetaminophen,Middle,4 day,3,215
42,13,5,acetaminophen,Middle,4 day,1,216.7
42,13,5,acetaminophen,Middle,4 day,3,217.2
42,14,1,acetaminophen,Middle,8 day,1,206.3
42,14,1,acetaminophen,Middle,8 day,3,217
42,14,1,acetaminophen,Middle,8 day,7,247
42,14,2,acetaminophen,Middle,8 day,1,212.1
42,14,2,acetaminophen,Middle,8 day,3,210.5
42,14,2,acetaminophen,Middle,8 day,7,236.8
42,14,3,acetaminophen,Middle,8 day,1,217.6
42,14,3,acetaminophen,Middle,8 day,3,211.4
42,14,3,acetaminophen,Middle,8 day,7,241.4
42,14,4,acetaminophen,Middle,8 day,1,202.7
42,14,4,acetaminophen,Middle,8 day,3,201.7
42,14,4,acetaminophen,Middle,8 day,7,231.1
42,14,5,acetaminophen,Middle,8 day,1,212.2
42,14,5,acetaminophen,Middle,8 day,3,204.5
42,14,5,acetaminophen,Middle,8 day,7,231.4
42,15,1,acetaminophen,Middle,15 day,1,223.2
42,15,1,acetaminophen,Middle,15 day,3,213.9
42,15,1,acetaminophen,Middle,15 day,7,245.4
42,15,1,acetaminophen,Middle,15 day,10,262.8
42,15,1,acetaminophen,Middle,15 day,14,284.4
42,15,2,acetaminophen,Middle,15 day,1,209.3
42,15,2,acetaminophen,Middle,15 day,3,216.3
42,15,2,acetaminophen,Middle,15 day,7,254.2
42,15,2,acetaminophen,Middle,15 day,10,276.5
42,15,2,acetaminophen,Middle,15 day,14,312.6
42,15,3,acetaminophen,Middle,15 day,1,211.5
42,15,3,acetaminophen,Middle,15 day,3,222.9
42,15,3,acetaminophen,Middle,15 day,7,249.1
42,15,3,acetaminophen,Middle,15 day,10,266.8
42,15,3,acetaminophen,Middle,15 day,14,290
42,15,4,acetaminophen,Middle,15 day,1,213.9
42,15,4,acetaminophen,Middle,15 day,3,217.2
42,15,4,acetaminophen,Middle,15 day,7,248.6
42,15,4,acetaminophen,Middle,15 day,10,274.6
42,15,4,acetaminophen,Middle,15 day,14,300.1
42,15,5,acetaminophen,Middle,15 day,1,205.8
42,15,5,acetaminophen,Middle,15 day,3,205.3
42,15,5,acetaminophen,Middle,15 day,7,231.5
42,15,5,acetaminophen,Middle,15 day,10,251.2
42,15,5,acetaminophen,Middle,15 day,14,267.8
42,16,1,acetaminophen,Middle,29 day,1,216.1
42,16,1,acetaminophen,Middle,29 day,3,218
42,16,1,acetaminophen,Middle,29 day,7,244.5
42,16,1,acetaminophen,Middle,29 day,10,267.1
42,16,1,acetaminophen,Middle,29 day,14,291
42,16,1,acetaminophen,Middle,29 day,17,312.3
42,16,1,acetaminophen,Middle,29 day,21,337
42,16,1,acetaminophen,Middle,29 day,24,353.9
42,16,1,acetaminophen,Middle,29 day,28,372
42,16,2,acetaminophen,Middle,29 day,1,214
42,16,2,acetaminophen,Middle,29 day,3,222.6
42,16,2,acetaminophen,Middle,29 day,7,241.8
42,16,2,acetaminophen,Middle,29 day,10,265.4
42,16,2,acetaminophen,Middle,29 day,14,293
42,16,2,acetaminophen,Middle,29 day,17,303
42,16,2,acetaminophen,Middle,29 day,21,320.5
42,16,2,acetaminophen,Middle,29 day,24,335.4
42,16,2,acetaminophen,Middle,29 day,28,351.2
42,16,3,acetaminophen,Middle,29 day,1,207.2
42,16,3,acetaminophen,Middle,29 day,3,211
42,16,3,acetaminophen,Middle,29 day,7,242.3
42,16,3,acetaminophen,Middle,29 day,10,263.8
42,16,3,acetaminophen,Middle,29 day,14,297.6
42,16,3,acetaminophen,Middle,29 day,17,314
42,16,3,acetaminophen,Middle,29 day,21,344.4
42,16,3,acetaminophen,Middle,29 day,24,361.7
42,16,3,acetaminophen,Middle,29 day,28,379.9
42,16,4,acetaminophen,Middle,29 day,1,208.4
42,16,4,acetaminophen,Middle,29 day,3,218.9
42,16,4,acetaminophen,Middle,29 day,7,244.6
42,16,4,acetaminophen,Middle,29 day,10,264
42,16,4,acetaminophen,Middle,29 day,14,296
42,16,4,acetaminophen,Middle,29 day,17,312.7
42,16,4,acetaminophen,Middle,29 day,21,336.2
42,16,4,acetaminophen,Middle,29 day,24,347.8
42,16,4,acetaminophen,Middle,29 day,28,364.8
42,16,5,acetaminophen,Middle,29 day,1,218
42,16,5,acetaminophen,Middle,29 day,3,217
42,16,5,acetaminophen,Middle,29 day,7,251.1
42,16,5,acetaminophen,Middle,29 day,10,271.2
42,16,5,acetaminophen,Middle,29 day,14,303.1
42,16,5,acetaminophen,Middle,29 day,17,315.4
42,16,5,acetaminophen,Middle,29 day,21,332.3
42,16,5,acetaminophen,Middle,29 day,24,346.2
42,16,5,acetaminophen,Middle,29 day,28,358.2
42,17,1,acetaminophen,High,4 day,1,198.7
42,17,1,acetaminophen,High,4 day,3,206.8
42,17,2,acetaminophen,High,4 day,1,217.1
42,17,2,acetaminophen,High,4 day,3,203.4
42,17,3,acetaminophen,High,4 day,1,219.7
42,17,3,acetaminophen,High,4 day,3,203.2
42,17,4,acetaminophen,High,4 day,1,203.1
42,17,4,acetaminophen,High,4 day,3,203.9
42,17,5,acetaminophen,High,4 day,1,213
42,17,5,acetaminophen,High,4 day,3,210.6
42,18,1,acetaminophen,High,8 day,1,218.8
42,18,1,acetaminophen,High,8 day,3,203.7
42,18,1,acetaminophen,High,8 day,7,231.5
42,18,2,acetaminophen,High,8 day,1,201.9
42,18,2,acetaminophen,High,8 day,3,193.1
42,18,2,acetaminophen,High,8 day,7,206.9
42,18,3,acetaminophen,High,8 day,1,210.3
42,18,3,acetaminophen,High,8 day,3,205
42,18,3,acetaminophen,High,8 day,7,222.3
42,18,4,acetaminophen,High,8 day,1,213.5
42,18,4,acetaminophen,High,8 day,3,212.1
42,18,4,acetaminophen,High,8 day,7,227.8
42,18,5,acetaminophen,High,8 day,1,200.7
42,18,5,acetaminophen,High,8 day,3,205.6
42,18,5,acetaminophen,High,8 day,7,217.8
42,19,1,acetaminophen,High,15 day,1,210.2
42,19,1,acetaminophen,High,15 day,3,203.3
42,19,1,acetaminophen,High,15 day,7,219.2
42,19,1,acetaminophen,High,15 day,10,241.1
42,19,1,acetaminophen,High,15 day,14,269.7
42,19,2,acetaminophen,High,15 day,1,224.1
42,19,2,acetaminophen,High,15 day,3,212.1
42,19,2,acetaminophen,High,15 day,7,241.4
42,19,2,acetaminophen,High,15 day,10,259.4
42,19,2,acetaminophen,High,15 day,14,282.4
42,19,3,acetaminophen,High,15 day,1,209.7
42,19,3,acetaminophen,High,15 day,3,202.8
42,19,3,acetaminophen,High,15 day,7,222.3
42,19,3,acetaminophen,High,15 day,10,244.9
42,19,3,acetaminophen,High,15 day,14,274.3
42,19,4,acetaminophen,High,15 day,1,213.9
42,19,4,acetaminophen,High,15 day,3,212.2
42,19,4,acetaminophen,High,15 day,7,235.7
42,19,4,acetaminophen,High,15 day,10,258.5
42,19,4,acetaminophen,High,15 day,14,287.8
42,19,5,acetaminophen,High,15 day,1,221.2
42,19,5,acetaminophen,High,15 day,3,212.2
42,19,5,acetaminophen,High,15 day,7,233
42,19,5,acetaminophen,High,15 day,10,251.3
42,19,5,acetaminophen,High,15 day,14,279.1
42,20,1,acetaminophen,High,29 day,1,203.5
42,20,1,acetaminophen,High,29 day,3,207.3
42,20,1,acetaminophen,High,29 day,7,236.7
42,20,1,acetaminophen,High,29 day,10,258.7
42,20,1,acetaminophen,High,29 day,14,283.6
42,20,1,acetaminophen,High,29 day,17,302.1
42,20,1,acetaminophen,High,29 day,21,327.7
42,20,1,acetaminophen,High,29 day,24,346.7
42,20,1,acetaminophen,High,29 day,28,365.5
42,20,2,acetaminophen,High,29 day,1,213.7
42,20,2,acetaminophen,High,29 day,3,216.6
42,20,2,acetaminophen,High,29 day,7,238.2
42,20,2,acetaminophen,High,29 day,10,259.1
42,20,2,acetaminophen,High,29 day,14,287.7
42,20,2,acetaminophen,High,29 day,17,304.4
42,20,2,acetaminophen,High,29 day,21,327.8
42,20,2,acetaminophen,High,29 day,24,345.1
42,20,2,acetaminophen,High,29 day,28,365.1
42,20,3,acetaminophen,High,29 day,1,218.6
42,20,3,acetaminophen,High,29 day,3,211.7
42,20,3,acetaminophen,High,29 day,7,239.5
42,20,3,acetaminophen,High,29 day,10,264
42,20,3,acetaminophen,High,29 day,14,298.1
42,20,3,acetaminophen,High,29 day,17,317
42,20,3,acetaminophen,High,29 day,21,333.9
42,20,3,acetaminophen,High,29 day,24,354.8
42,20,3,acetaminophen,High,29 day,28,372
42,20,4,acetaminophen,High,29 day,1,213.4
42,20,4,acetaminophen,High,29 day,3,189.3
42,20,4,acetaminophen,High,29 day,7,207.9
42,20,4,acetaminophen,High,29 day,10,224.3
42,20,4,acetaminophen,High,29 day,14,257.3
42,20,4,acetaminophen,High,29 day,17,271.3
42,20,4,acetaminophen,High,29 day,21,296.4
42,20,4,acetaminophen,High,29 day,24,316.7
42,20,4,acetaminophen,High,29 day,28,321.5
42,20,5,acetaminophen,High,29 day,1,207.5
42,20,5,acetaminophen,High,29 day,3,191.2
42,20,5,acetaminophen,High,29 day,7,217.3
42,20,5,acetaminophen,High,29 day,10,235.3
42,20,5,acetaminophen,High,29 day,14,259.6
42,20,5,acetaminophen,High,29 day,17,269.4
42,20,5,acetaminophen,High,29 day,21,286.5
42,20,5,acetaminophen,High,29 day,24,294.8
42,20,5,acetaminophen,High,29 day,28,302
61,1,1,isoniazid,Control,4 day,1,189
61,1,1,isoniazid,Control,4 day,3,200.8
61,1,2,isoniazid,Control,4 day,1,197.7
61,1,2,isoniazid,Control,4 day,3,210.5
61,1,3,isoniazid,Control,4 day,1,209.5
61,1,3,isoniazid,Control,4 day,3,229.6
61,1,4,isoniazid,Control,4 day,1,184.7
61,1,4,isoniazid,Control,4 day,3,201.6
61,1,5,isoniazid,Control,4 day,1,197.3
61,1,5,isoniazid,Control,4 day,3,215.3
61,2,1,isoniazid,Control,8 day,1,208.5
61,2,1,isoniazid,Control,8 day,3,223.3
61,2,1,isoniazid,Control,8 day,7,253.8
61,2,2,isoniazid,Control,8 day,1,190.4
61,2,2,isoniazid,Control,8 day,3,203.3
61,2,2,isoniazid,Control,8 day,7,230.3
61,2,3,isoniazid,Control,8 day,1,199.5
61,2,3,isoniazid,Control,8 day,3,214.3
61,2,3,isoniazid,Control,8 day,7,248.2
61,2,4,isoniazid,Control,8 day,1,206.9
61,2,4,isoniazid,Control,8 day,3,223.6
61,2,4,isoniazid,Control,8 day,7,258.2
61,2,5,isoniazid,Control,8 day,1,195.5
61,2,5,isoniazid,Control,8 day,3,211
61,2,5,isoniazid,Control,8 day,7,238.3
61,3,1,isoniazid,Control,15 day,1,196.6
61,3,1,isoniazid,Control,15 day,3,219.3
61,3,1,isoniazid,Control,15 day,7,257.8
61,3,1,isoniazid,Control,15 day,10,281
61,3,1,isoniazid,Control,15 day,14,318.2
61,3,2,isoniazid,Control,15 day,1,202.8
61,3,2,isoniazid,Control,15 day,3,219.8
61,3,2,isoniazid,Control,15 day,7,252.8
61,3,2,isoniazid,Control,15 day,10,270.7
61,3,2,isoniazid,Control,15 day,14,293.1
61,3,3,isoniazid,Control,15 day,1,185.8
61,3,3,isoniazid,Control,15 day,3,198
61,3,3,isoniazid,Control,15 day,7,228.2
61,3,3,isoniazid,Control,15 day,10,247.6
61,3,3,isoniazid,Control,15 day,14,271.4
61,3,4,isoniazid,Control,15 day,1,193.9
61,3,4,isoniazid,Control,15 day,3,209.4
61,3,4,isoniazid,Control,15 day,7,236.3
61,3,4,isoniazid,Control,15 day,10,251.9
61,3,4,isoniazid,Control,15 day,14,270.9
61,3,5,isoniazid,Control,15 day,1,198.8
61,3,5,isoniazid,Control,15 day,3,209.5
61,3,5,isoniazid,Control,15 day,7,239
61,3,5,isoniazid,Control,15 day,10,260.3
61,3,5,isoniazid,Control,15 day,14,283.9
61,4,1,isoniazid,Control,29 day,1,184.2
61,4,1,isoniazid,Control,29 day,3,205.9
61,4,1,isoniazid,Control,29 day,7,239.9
61,4,1,isoniazid,Control,29 day,10,263.5
61,4,1,isoniazid,Control,29 day,14,292.5
61,4,1,isoniazid,Control,29 day,17,308.5
61,4,1,isoniazid,Control,29 day,21,330.9
61,4,1,isoniazid,Control,29 day,24,345.1
61,4,1,isoniazid,Control,29 day,28,367.8
61,4,2,isoniazid,Control,29 day,1,199.7
61,4,2,isoniazid,Control,29 day,3,216.3
61,4,2,isoniazid,Control,29 day,7,251.1
61,4,2,isoniazid,Control,29 day,10,279.1
61,4,2,isoniazid,Control,29 day,14,308.2
61,4,2,isoniazid,Control,29 day,17,327.3
61,4,2,isoniazid,Control,29 day,21,353.3
61,4,2,isoniazid,Control,29 day,24,372.7
61,4,2,isoniazid,Control,29 day,28,396.8
61,4,3,isoniazid,Control,29 day,1,208
61,4,3,isoniazid,Control,29 day,3,222.6
61,4,3,isoniazid,Control,29 day,7,249.7
61,4,3,isoniazid,Control,29 day,10,270.4
61,4,3,isoniazid,Control,29 day,14,299.7
61,4,3,isoniazid,Control,29 day,17,313.1
61,4,3,isoniazid,Control,29 day,21,343.1
61,4,3,isoniazid,Control,29 day,24,362.6
61,4,3,isoniazid,Control,29 day,28,387.6
61,4,4,isoniazid,Control,29 day,1,188.2
61,4,4,isoniazid,Control,29 day,3,202.1
61,4,4,isoniazid,Control,29 day,7,227.9
61,4,4,isoniazid,Control,29 day,10,245
61,4,4,isoniazid,Control,29 day,14,263
61,4,4,isoniazid,Control,29 day,17,278.1
61,4,4,isoniazid,Control,29 day,21,295.2
